UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q96N38,ZNF714,Zinc finger protein 714,,"saliva: 251/28.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86XU0,ZNF677,Zinc finger protein 677,,"saliva: 2/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5HYK9,ZNF667,Zinc finger protein 667,,"saliva: 5/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O15015,ZNF646,Zinc finger protein 646,,"saliva: 0/0 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14966,ZNF638,Zinc finger protein 638,,"saliva: 8/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.6
Q5T7W0,ZNF618,Zinc finger protein 618,,"saliva: 33/3.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O15014,ZNF609,Zinc finger protein 609,,"saliva: 6/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q52M93,ZNF585B,Zinc finger protein 585B,,"saliva: 4/0.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NAF0,ZNF579,Zinc finger protein 579,,"saliva: 33/4.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,9.8
Q76KX8,ZNF534,Zinc finger protein 534,,"saliva: 2/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NB42,ZNF527,Zinc finger protein 527,,"saliva: 2/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6AHZ1,ZNF518A,Zinc finger protein 518A,,"saliva: 22/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96JG9,ZNF469,Zinc finger protein 469,,"saliva: 621/15.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9C0G0,ZNF407,Zinc finger protein 407,,"saliva: 15/0.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8.4
P15822,HIVEP1,Zinc finger protein 40,,"saliva: 163/5.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.02 peptides",medium,10.9
P13682,ZNF35,Zinc finger protein 35,,"saliva: 39/5.88 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BYN7,ZNF341,Zinc finger protein 341,,"saliva: 2/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,5.7
Q06730,ZNF33A,Zinc finger protein 33A,,"saliva: 129/11.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,18.9
Q9HCZ1,ZNF334,Zinc finger protein 334,,"saliva: 4/0.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,6.8
O75467,ZNF324,Zinc finger protein 324A,,"saliva: 86/11.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,11.2
Q5VUA4,ZNF318,Zinc finger protein 318,,"saliva: 22/0.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,7.9
O60281,ZNF292,Zinc finger protein 292,,"saliva: 134/3.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BRH9,ZNF251,Zinc finger protein 251,,"saliva: 177/19.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12
Q8NDW4,ZNF248,Zinc finger protein 248,,"saliva: 39/5.06 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.4
Q9UK10,ZNF225,Zinc finger protein 225,,"saliva: 39/3.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43345,ZNF208,Zinc finger protein 208,,"saliva: 0/0 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",?,3.5
Q6ZN57,ZFP2,Zinc finger protein 2 homolog,,"saliva: 64/11.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H2Y7,ZNF106,Zinc finger protein 106,,"saliva: 12/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,6
O95789,ZMYM6,Zinc finger MYM-type protein 6,,"saliva: 10/0.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.9
Q5VZL5,ZMYM4,Zinc finger MYM-type protein 4,,"saliva: 17/1.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,18
Q14202,ZMYM3,Zinc finger MYM-type protein 3,,"saliva: 9/0.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,11.2
Q9UBW7,ZMYM2,Zinc finger MYM-type protein 2,,"saliva: 91/5.83 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,18.2
Q5SVZ6,ZMYM1,Zinc finger MYM-type protein 1,,"saliva: 26/0.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,8.3
Q86UP3,ZFHX4,Zinc finger homeobox protein 4,,"saliva: 212/5.98 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,1.6
Q8N567,ZCCHC9,Zinc finger CCHC domain-containing protein 9,,"saliva: 11/2.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.2
Q8N2G6,ZCCHC24,Zinc finger CCHC domain-containing protein 24,,"saliva: 2/0.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,6.2
Q8WYQ9,ZCCHC14,Zinc finger CCHC domain-containing protein 14,,"saliva: 5/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,3.3
Q9UPT8,ZC3H4,Zinc finger CCCH domain-containing protein 4,,"saliva: 2/0.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5T200,ZC3H13,Zinc finger CCCH domain-containing protein 13,,"saliva: 10/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O60293,ZFC3H1,Zinc finger C3H1 domain-containing protein,,"saliva: 165/5.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5TFG8,ZC2HC1B,Zinc finger C2HC domain-containing protein 1B,,"saliva: 83/21.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O96006,ZBED1,Zinc finger BED domain-containing protein 1,,"saliva: 16/2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,7.7
A8MT70,ZBBX,Zinc finger B-box domain-containing protein 1,,"saliva: 39/2.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H4T2,ZSCAN16,Zinc finger and SCAN domain-containing protein 16,,"saliva: 116/20.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.4
Q9NUA8,ZBTB40,Zinc finger and BTB domain-containing protein 40,,"saliva: 3/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,14.6
O43167,ZBTB24,Zinc finger and BTB domain-containing protein 24,,"saliva: 87/11.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P49750,YLPM1,YLP motif-containing protein 1,,"saliva: 12/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.6
Q9ULM3,YEATS2,YEATS domain-containing protein 2,,"saliva: 2/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P16989,YBX3,Y-box-binding protein 3,,"saliva: 84/15.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.9
Q9H1B5,XYLT2,Xylosyltransferase 2,,"saliva: 82/8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,,"saliva: 117/0.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P12955,PEPD,Xaa-Pro dipeptidase,,"saliva: 97/21.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NQW7,XPNPEP1,Xaa-Pro aminopeptidase 1,,"saliva: 5/0.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P12956,XRCC6,X-ray repair cross-complementing protein 6,,"saliva: 20/2.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6P2D8,XRRA1,X-ray radiation resistance-associated protein 1,,"saliva: 35/4.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q92834,RPGR,X-linked retinitis pigmentosa GTPase regulator,,"saliva: 77/6.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,3.7
Q658N2,WSCD1,WSC domain-containing protein 1,,"saliva: 140/16.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O76024,WFS1,Wolframin,,"saliva: 2/0.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y6W5,WASF2,Wiskott-Aldrich syndrome protein family member 2,,"saliva: 2/0.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z5K2,WAPL,Wings apart-like protein homolog,,"saliva: 56/3.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P202,WHRN,Whirlin,,"saliva: 29/2.79 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14191,WRN,Werner syndrome ATP-dependent helicase,,"saliva: 3/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NE52,WDR97,WD repeat-containing protein 97,,"saliva: 225/14.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZQQ6,WDR87,WD repeat-containing protein 87,,"saliva: 16/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86TI4,WDR86,WD repeat-containing protein 86,,"saliva: 102/25.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y4E6,WDR7,WD repeat-containing protein 7,,"saliva: 194/13.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NNW5,WDR6,WD repeat-containing protein 6,,"saliva: 2/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IV35,WDR49,WD repeat-containing protein 49,,"saliva: 52/5.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P2L0,WDR35,WD repeat-containing protein 35,,"saliva: 261/18.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NA23,WDR31,WD repeat-containing protein 31,,"saliva: 6/1.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UNX4,WDR3,WD repeat-containing protein 3,,"saliva: 3/0.22 peptides
parotid gland: 6/0.43 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H1Z4,WDR13,WD repeat-containing protein 13,,"saliva: 185/29.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O75083,WDR1,WD repeat-containing protein 1,,"saliva: 81/12.37 peptides
parotid gland: 4/0.06 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6ZS81,WDFY4,WD repeat- and FYVE domain-containing protein 4,,"saliva: 46/0.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y484,WDR45,WD repeat domain phosphoinositide-interacting protein 4,,"saliva: 2/0.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IZQ1,WDFY3,WD repeat and FYVE domain-containing protein 3,,"saliva: 413/11.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8TF30,WHAMM,"WASP homolog-associated protein with actin, membranes and microtubules",,"saliva: 12/0.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12768,WASHC5,WASH complex subunit 5,,"saliva: 8/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,22.6
Q641Q2,WASHC2A,WASH complex subunit 2A,,"saliva: 9/0.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,6.3
Q14508,WFDC2,WAP four-disulfide core domain protein 2,,"saliva: 738/640.58 peptides
parotid gland: 110/32.2 peptides
sm/sl glands: 75/54.29 peptides",medium,343.7
Q7Z3J2,VPS35L,VPS35 endosomal protein sorting factor-like,,"saliva: 8/0.9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,15.4
Q9UPU3,SORCS3,VPS10 domain-containing receptor SorCS3,,"saliva: 13/1.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.9
Q96PQ0,SORCS2,VPS10 domain-containing receptor SorCS2,,"saliva: 2/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.6
Q8N2E2,VWDE,von Willebrand factor D and EGF domain-containing protein,,"saliva: 7/0.47 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,5.7
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,,"saliva: 2/0.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q502W6,VWA3B,von Willebrand factor A domain-containing protein 3B,,"saliva: 7/0.48 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NCI4,VWA3A,von Willebrand factor A domain-containing protein 3A,,"saliva: 36/1.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5GFL6,VWA2,von Willebrand factor A domain-containing protein 2,,"saliva: 0/0 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 2/0.06 peptides",n/a,n/a
Q6PCB0,VWA1,von Willebrand factor A domain-containing protein 1,,"saliva: 0/0 peptides
parotid gland: 7/0.18 peptides
sm/sl glands: 4/0.26 peptides",n/a,n/a
Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D,,"saliva: 4/0.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,17.8
Q13303,KCNAB2,Voltage-gated potassium channel subunit beta-2,,"saliva: 16/3.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P0X4,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,,"saliva: 11/0.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O95180,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,,"saliva: 10/0.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,1.7
Q13936,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,,"saliva: 4/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.4
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,,"saliva: 0/0 peptides
parotid gland: 2/0.06 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,,"saliva: 0/0 peptides
parotid gland: 2/0.05 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P04004,VTN,Vitronectin,,"saliva: 53/10.35 peptides
parotid gland: 10/0.35 peptides
sm/sl glands: 4/0.19 peptides",n/a,n/a
P02774,GC,Vitamin D-binding protein,,"saliva: 1965/240.99 peptides
parotid gland: 41/1.85 peptides
sm/sl glands: 26/2.31 peptides",n/a,n/a
P18206,VCL,Vinculin,,"saliva: 82/3.23 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 3/0.05 peptides",n/a,n/a
P08670,VIM,Vimentin,,"saliva: 1196/140.45 peptides
parotid gland: 26/0.89 peptides
sm/sl glands: 16/1.23 peptides",not detected,42.6
Q00341,HDLBP,Vigilin,,"saliva: 27/1.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96IW7,SEC22A,Vesicle-trafficking protein SEC22a,,"saliva: 7/2.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,13.7
Q12981,BNIP1,Vesicle transport protein SEC20,,"saliva: 209/58.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.4
Q9P035,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,,"saliva: 6/2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.3
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",,"saliva: 2/0.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q68DQ2,CRYBG3,Very large A-kinase anchor protein,,"saliva: 2/0.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,10.6
P13611,VCAN,Versican core protein,,"saliva: 164/6.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.5
P50552,VASP,Vasodilator-stimulated phosphoprotein,,"saliva: 26/5.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P17948,FLT1,Vascular endothelial growth factor receptor 1,,"saliva: 5/0.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9ULK5,VANGL2,Vang-like protein 2,,"saliva: 9/1.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P26640,VARS,Valine--tRNA ligase,,"saliva: 2/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.1
Q8N3P4,VPS8,Vacuolar protein sorting-associated protein 8 homolog,,"saliva: 7/0.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NRW7,VPS45,Vacuolar protein sorting-associated protein 45,,"saliva: 10/1.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5THJ4,VPS13D,Vacuolar protein sorting-associated protein 13D,,"saliva: 501/10.06 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q709C8,VPS13C,Vacuolar protein sorting-associated protein 13C,,"saliva: 941/20.02 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z7G8,VPS13B,Vacuolar protein sorting-associated protein 13B,,"saliva: 113/3.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96RL7,VPS13A,Vacuolar protein sorting-associated protein 13A,,"saliva: 400/10.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q15904,ATP6AP1,V-type proton ATPase subunit S1,,"saliva: 0/0 peptides
parotid gland: 4/0.1 peptides
sm/sl glands: 5/0.34 peptides",n/a,n/a
P36543,ATP6V1E1,V-type proton ATPase subunit E 1,,"saliva: 119/28.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,21.5
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 4/0.17 peptides",n/a,n/a
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.07 peptides",n/a,n/a
Q9HBG4,ATP6V0A4,V-type proton ATPase 116 kDa subunit a isoform 4,,"saliva: 12/1.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,55.4
Q9Y487,ATP6V0A2,V-type proton ATPase 116 kDa subunit a isoform 2,,"saliva: 34/3.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y279,VSIG4,V-set and immunoglobulin domain-containing protein 4,,"saliva: 8/3.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86VR7,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,,"saliva: 71/6.67 peptides
parotid gland: 5/0.11 peptides
sm/sl glands: 5/0.15 peptides",?,72.9
P15918,RAG1,V(D)J recombination-activating protein 1,,"saliva: 28/1.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P54727,RAD23B,UV excision repair protein RAD23 homolog B,,"saliva: 316/86.91 peptides
parotid gland: 8/0.68 peptides
sm/sl glands: 1/0.19 peptides",high,28.7
P46939,UTRN,Utrophin,,"saliva: 296/6.28 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q16851,UGP2,UTP--glucose-1-phosphate uridylyltransferase,,"saliva: 7/0.24 peptides
parotid gland: 3/0.04 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P11684,SCGB1A1,Uteroglobin,,"saliva: 18/9.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.54 peptides",n/a,n/a
O75445,USH2A,Usherin,,"saliva: 21/0.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5BN46,C9orf116,UPF0691 protein C9orf116,,"saliva: 6/3.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2
Q9H5V9,CXorf56,UPF0428 protein CXorf56,,"saliva: 25/6.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,14.6
Q9BPX7,C7orf25,UPF0415 protein C7orf25,,"saliva: 11/1.98 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,5
Q9BZE7,C22orf23,UPF0193 protein EVG1,,"saliva: 4/1.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,4.5
Q9HB07,C12orf10,"UPF0160 protein MYG1, mitochondrial",,"saliva: 135/26.94 peptides
parotid gland: 1/0.08 peptides
sm/sl glands: 0/0 peptides",medium,19.4
Q14146,URB2,Unhealthy ribosome biogenesis protein 2 homolog,,"saliva: 170/11.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8IUG5,MYO18B,Unconventional myosin-XVIIIb,,"saliva: 341/8.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1
Q92614,MYO18A,Unconventional myosin-XVIIIa,,"saliva: 258/6.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.4
Q9Y6X6,MYO16,Unconventional myosin-XVI,,"saliva: 31/1.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.6
Q96JP2,MYO15B,Unconventional myosin-XVB,,"saliva: 84/5.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,5.2
Q9UKN7,MYO15A,Unconventional myosin-XV,,"saliva: 72/1.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9HD67,MYO10,Unconventional myosin-X,,"saliva: 35/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.8
Q6PIF6,MYO7B,Unconventional myosin-VIIb,,"saliva: 32/1.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13402,MYO7A,Unconventional myosin-VIIa,,"saliva: 149/4.93 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",low,1.1
