Q96DA0 3AQG
Q9Y5X1 2RAI
Q96L92 4HAS
Q9H3E2 5WOE
Q92673 2DM4
Q99523 3F6K
O94875 5VEI
Q07890 6EIE
Q7LBE3 7CH1
Q8WVQ1 1S18
Q15858 5EK0
Q14524 2KBI
P53814 2D87
O43765 2VYI
P12757 3EQ5
Q9NTI5 5HDT
P42224 1BF5
P29353 1MIL
Q8TBC3 4CRH
Q9H299 1SJ6
O75368 1U6T
Q9BYB0 6CPK
Q9Y566 6CPI
P58004 5CUF
P02743 1GYK
P0DJI8 4IP8
P36952 1WZ9
P29508 2ZV6
P02787 1A8E
Q6IN85 6R8I
Q9H4A3 4PWN
Q99986 2KTY
Q9UHD2 4EFO
Q9H2K8 6BDN
Q96Q15 6L53
Q13523 4IAN
Q16513 4CRS
O94806 2D9Z
Q13535 5YZ0
Q9UQ35 5MQF
Q13315 5NP0
P21549 1H0C
P58062 2LEO
Q9NQ38 1H0Z
Q92743 2JOA
Q9UHD8 4YQF
Q9HC62 1TGZ
Q9BYH1 2YRA
Q15468 4YYP
P16615 5ZTF
O94885 2DL0
Q9NZJ4 1IUR
O43865 3MTG
Q15413 4ERV
Q92736 4JKQ
P21817 6UHI
Q9HCK4 1UEM
Q5TZA2 6L5H
Q96PM5 2JRJ
Q96AT9 3OVP
Q92979 5FAI
Q9UK32 6G76
Q9H6W3 4CCJ
P23921 2WGH
O00584 3T0O
P13489 1A4Y
P34096 1RNF
Q9NRR4 2KHX
O75116 4L6Q
Q13464 1S1C
Q92974 5EFX
Q5VV41 1X6B
O15085 1HTJ
Q96QB1 2DKY
Q13017 2EE4
Q5T5U3 2DHJ
A1A4S6 2MIO
P52566 1DS6
P52565 1CC0
Q6NW40 4BQ6
P02753 1BRP
Q08999 4XI9
P28749 1H28
Q15291 3P4F
P12271 1XGG
P00352 4WB9
Q9NQC3 2G31
Q9HD89 1LV6
P35251 2EBU
O75787 3LBS
Q8WUF5 2VGE
Q9HAU5 1UW4
P41220 2AF0
O14924 2EBZ
Q86UR5 2CSS
P23471 3JXF
O14522 2OOQ
Q13332 2FH7
Q15256 2A8B
P23470 2H4V
P10586 1LAR
Q12913 2CFV
P23469 2JJD
P23468 1X5Z
P08575 1YGR
P23467 2AHS
P36888 1RJB
Q13546 4ITH
P63244 4AOW
Q13127 2CZY
Q96I51 5XGS
P51149 1T91
Q86YS6 2HUP
P15153 1DS6
Q86VI3 3ISU
Q13576 3IEZ
P46940 1X0H
Q6R327 5ZCS
O95398 6H7E
Q9Y4G8 6QDT
Q13905 5L23
Q8NFH8 1IQ3
Q15311 2KWH
Q12967 1RAX
Q0VGL1 5VOK
P04049 1C1Y
P31749 1H10
Q7L804 2GZD
Q6WKZ4 4D0G
Q15276 1P4U
P14618 1T5A
P30613 2VGB
P11498 3BG3
Q13394 5EOG
Q8TEA1 5WWQ
P00491 1M73
Q15397 4WZR
Q96MK3 5WRR
Q8TAB3 6VFU
P08922 3ZBF
P00734 1A2C
Q14289 2FO6
P22061 1I1N
P22735 2XZZ
Q08188 1L9M
Q9ULW8 6CE1
Q9H3U1 2DBA
O94855 3EFO
Q9UPR3 2HWY
Q8TF72 6FBB
A8K8P3 2K2I
Q14160 1UJU
P25815 1J55
P06702 1IRJ
P05109 1MR8
P31151 1PSR
P06703 1K8U
P26447 1M31
P29034 2RGI
Q96FQ6 2L50
Q9HCY8 2M0R
P80511 1E8A
P31949 1V4Z
P60903 1A4P
Q14690 1WI5
Q9GZN7 5XQH
Q7Z6K3 6J6X
Q8WVV4 3BH9
Q9Y6V0 1UJD
O14974 2KJY
Q13635 6DMB
Q13438 3AIH
Q9H7Z3 6IEH
Q9UN36 2XMQ
Q96AB6 6A0E
Q460N5 3GOY
P05129 2E73
Q5T0W9 5LZK
Q92520 5LC2
P49257 3A4U
Q9H8V3 3L46
Q15084 1X5D
P30101 2ALB
P07237 1BJX
O60888 1XK8
Q5IJ48 2WO6
O75629 1XHN
O75128 4PL8
Q8TCG1 5UFL
Q8IYS0 6GN5
Q6P2P2 6PDM
P55345 1X2P
Q8IVF2 4CN0
Q9BVA6 4U04
P49720 4R3O
P60900 4R3O
P28066 4R3O
P25788 4R3O
P25787 4R3O
P25786 4R3O
Q92530 2VT8
Q14997 6KWX
Q06323 1AVO
P15309 1CVI
Q16651 3DFJ
Q14914 1ZSV
P23219 6Y3C
P07602 1M12
P05165 2CQY
P27918 1W0R
Q07954 1CR8
P12004 1AXC
P12273 3ES6
P28799 1G26
Q8WUM4 2OEV
P07737 1AWI
Q93008 5VBD
Q15652 2YPD
Q8IVU3 5W87
Q15751 4O2W
O95671 2P5X
Q9UJV9 2P6N
Q9BUQ8 3JCR
Q92841 6UV0
Q14005 1I16
P01133 1IVO
P09668 1BZN
P02545 1IFR
Q2NL82 6G18
O95391 5XJC
Q92620 5YZG
Q9C0J8 6BLY
Q9NQV5 3RAY
O60741 5U6O
Q9NR82 6B8Q
Q10471 2FFU
P01833 1XED
P78364 2L8E
P98161 1B4R
Q86W56 4A0D
Q7Z3K3 2E72
Q9Y4D7 3H6N
O15031 4E71
Q9HCM2 4E74
P21246 2N6F
Q15149 1MB8
Q8IWE5 3CXB
Q9Y2H5 2D9Y
P16234 1GQ5
P13797 1AOA
P13796 2D85
P05120 1BY7
P05121 1A7C
P00747 1B2I
P05155 1M6Q
Q13835 1XM9
Q8TC59 3O7X
Q9NWS0 4PSF
P36955 1IMV
Q9Y5X4 4LOG
O15305 2AMY
Q9Y2Q0 6K7G
Q9Y263 2K89
P18669 1LJD
P00558 2WZB
P36871 5EPC
O00443 2AR5
P42356 6BQ1
P42336 2ENQ
O00459 2KT1
Q8NEB9 3IHY
Q70Z35 6BNM
O15357 2K4P
Q92835 2YSX
P30086 1BD9
P21439 6S7P
Q92576 2DME
Q9BVI0 2LDM
Q8WWQ0 3MB3
P30041 1PRX
P30044 1H4O
Q13162 2PN8
P32119 1QMV
Q06830 2RII
O60437 4Q28
O15534 1UL6
Q15154 6HYL
Q9BXM0 4CMZ
P62942 1A7X
P45877 2ESL
P23284 1CYN
P62937 1AK4
O75594 1YCK
Q9H5P4 2EEH
Q96HC4 2DAR
Q9GZU2 4BHX
Q86YC2 2W18
Q8TEW0 2KOM
Q99497 1J42
Q6P1J9 5YDE
Q9BZ23 5E26
P04746 1B2Y
P50897 3GRO
Q8WX93 2DM2
Q96ST3 1PO4
Q86WC4 7BXU
P04181 1GBN
Q5VST9 1V1C
Q9NTK5 2OHF
Q9H173 6LBN
Q12830 2F6J
P22392 1NSK
Q13232 1ZS6
P12270 5TO5
Q7Z3B4 4JNU
Q53GS7 6B4F
P06748 2LLH
P19338 2FC8
P17480 1K99
Q9NR30 2M3D
Q9NP64 2CQO
Q02818 1SNL
P61970 1GY5
Q9UBU9 1FO1
P48552 2GPO
Q9Y618 1KKQ
O75376 2EQR
Q9HCD5 1V95
Q9Y6Q9 1KBH
P52948 1KO6
Q92621 5IJN
Q12769 5A9Q
P49790 2EBQ
Q14980 3RO2
Q6P4R8 3U21
O95644 1A66
Q00653 1A3Q
Q16236 2FLU
O60524 3J92
Q9GZM8 2V66
Q9UNZ2 1SS6
P61916 5KWY
P10153 1GQV
P29597 3LXN
Q9NPP4 6K8J
P30414 2HE9
P29474 1M9J
P29475 4D1N
Q6KC79 6WG3
P14543 1NDX
P43490 2E5B
Q969V3 6W6L
O60934 5WQD
O15226 6SH6
P80188 1DFV
P08246 1B0F
P59666 1DFN
P22894 1A85
Q9NR71 4WGK
Q99574 3F02
P43681 2GVT
Q8IVL1 2YRN
Q9UM47 4ZLP
Q04721 2OO4
P46531 1PB5
P21359 1NF1
Q7Z628 3EO2
Q09666 4DRW
Q8NFP9 1MI1
Q8WXH0 4DXS
Q8NF91 4DXR
Q92859 1X5F
Q92692 3R0N
P20929 1ARK
Q8NFA2 2L73
P48163 2AW5
Q9UI09 5XTB
P23368 1DO8
Q96MN2 4EWI
Q86W26 2M5V
O14745 1G9O
Q86U44 5IL0
Q9BXJ9 6C95
Q5FWF5 4MXE
Q86SF2 6IWQ
Q9UJ70 2CH5
P20933 1APY
P58546 3AAA
Q00872 1X44
P35579 2LNK
Q7Z406 5I4E
P35580 4PD3
Q15746 2CQV
P52179 2R15
Q9NZM1 2DMH
P05164 1CXP
P41218 2DBG
P24158 1FUJ
O75970 2FCF
Q8NI22 2VRG
Q6DN12 2EP6
O60568 6FXK
O95255 6BZR
P98088 5AJN
Q02817 6RBF
P08571 4GLP
P26038 1E5W
Q9Y6D9 1GO4
Q5TCX8 4UYA
Q16659 6YKY
P27361 2ZOQ
O95140 6JFK
Q8IWA4 5GNR
Q8IXI2 5KSO
Q9NS69 7CK6
P21741 1MKC
O15021 2W7R
P10636 1I8H
Q9UPN3 4Z6G
Q9BV20 4LDQ
O43151 4Z3C
P51608 1QK9
Q9UBB5 2L2L
Q99707 2O2K
P50579 1B59
P01033 1D2B
Q6P4Q7 6G52
Q9H8M5 4IY0
Q14831 3MQ4
Q13421 4F3F
O00255 3U84
Q5TCQ9 3SOE
Q86UL8 1UEP
Q14565 1V5W
Q9Y4F3 2DGX
Q9ULK4 6H02
P14780 1GKC
P51512 1RM8
P09237 1MMP
Q96L34 5ES1
O43451 2QLY
O95822 2YGW
P40926 2DFD
Q14764 1Y7X
Q14168 2E7K
P40121 1J72
P14174 1CA7
P09603 1HMC
P61626 133L
P10619 1IVY
P42785 3N2Z
P38571 6V7N
O15054 2XUE
Q9UGL1 2MA5
P29375 2JXJ
O75164 2GF7
Q8NHM5 4O64
Q9Y2K7 2YU1
P46736 6H3C
P33241 3BH8
O95274 6IOM
Q14114 3A7Q
P98164 2M0P
P23141 1MX1
Q8ND30 3QH9
P50851 1T77
P31025 1XKI
P11182 1K8M
Q8WWI1 2EAQ
Q9UHB6 2D8Y
Q96JN0 2COB
P09960 1GW6
P30740 4GA7
P42702 3E0G
P15018 1EMR
Q5S007 2ZEJ
P29536 4Z79
Q99538 4AW9
Q14766 1KSQ
O15230 5XAU
P24043 4YEP
P42166 1GJJ
Q03252 2LLL
P20700 2KPW
Q04760 1BH5
P02788 1B0L
Q71RC2 2CQK
P07195 1I0Z
P00338 1I10
O43291 4U32
O43278 1YC0
Q63ZY3 4HBD
P01042 1NY2
Q8NBT2 2VE7
Q99661 2HEH
O95235 6YIP
O43896 2G1L
O60333 2EH0
Q12756 4EGX
Q8NI77 3LRE
Q96L93 2V14
Q9NS87 4BN2
Q9NQT8 2COW
P52732 1II6
P33176 1BG2
Q6VAB6 2Y4I
Q8IVT5 5VYK
Q7Z7F0 2YQR
P08729 4XIF
P02538 5KI0
P13647 3TNU
P04264 4ZRY
P02533 3TNU
P13645 3ASW
Q8IXQ5 3II7
Q9Y2M5 5YQ4
Q6TDP4 6HRL
Q53G59 2VPJ
Q9BW62 6B5C
P29622 6F02
Q92876 1GVL
Q9Y337 2PSX
O43240 5LPE
P06870 1SPJ
P14923 3IFQ
Q8N157 4ESR
P48735 4JA8
O75874 1T09
P50213 5GRE
Q8N2Y8 6IF2
P07476 1EU0
P40189 1BJ8
Q9UBH0 4P0J
Q9NZH8 4IZE
Q9UHA7 6HPI
Q9HB29 6U6U
O43187 3MOP
Q9NWZ3 2NRU
P18510 1ILR
Q9NPH3 3O4O
Q12906 2L33
P19827 6FPY
P16144 1QG3
P05107 1JX3
P20702 1N3Y
P11215 1A8X
P20701 1CQP
P17301 1AOX
Q9NVM9 6SN1
O00425 2E44
P14735 2G47
P06213 1GAG
O14732 2CZH
Q14573 6DQJ
P12268 1B3O
P20839 1JCN
Q9UK53 2QIC
P08476 1NYS
Q86YV5 5VE6
Q8IWB6 3WUT
Q8IZD2 2LV9
Q8N608 4WJL
O00410 6XTE
P15814 2H32
P01721 1CD0
P80748 2LOI
P01700 1ZVO
P06312 1DH6
P01619 1DH5
P0DOX7 5VIC
P01834 1A4J
P01591 6KXS
P01780 2FL5
P01871 1HEZ
P01861 1ADQ
P01860 4WWI
P01859 2QSC
P01877 3CM9
P01876 1IGA
P0DOX5 5O4E
P0DOX3 1ZVO
P54868 2WYA
Q4G0P3 2E6J
P51610 4GO6
Q8NCD3 3R45
Q96L73 3OOI
Q9BYW2 2A7O
Q9HAZ2 2N1I
Q9BZ95 2DAQ
Q15910 2C6V
Q9NR48 3MQM
O14686 3UVK
Q8NEZ4 2YSM
Q9UMN6 3UVM
Q03164 2AGH
P62805 1ZKK
Q96A08 3WKJ
P16401 2FE2
Q92794 1M36
Q92830 1F68
P52790 3HM8
P19367 1CZA
P22626 1X4B
P52272 2DGV
P61978 1J5K
P02042 1SHR
P68871 1A00
P69905 1A00
Q9Y5Z4 3R85
Q14527 2MZN
Q6ZRS2 6IGM
P54652 3I33
P08238 1QZ2
P07900 1BYQ
P04792 2N3J
Q12931 4Z1F
Q92598 6GFA
P11142 3AGY
P17066 3FE1
P34931 3GDQ
Q7Z4H3 4DMB
P00738 4WJG
P51795 2J9L
P32455 1DG3
Q02108 3UVJ
P19087 6N84
P09471 6FUF
P08754 2IHB
P52735 2DLZ
P62993 1AZE
Q8IWJ2 3BBP
Q6Y7W6 5NVL
O75420 5NVK
Q99062 1AZ7
Q6ISB3 5MR7
Q13439 1R4A
Q08379 4REY
P35052 4ACR
Q9UBQ7 2GCG
Q9HC38 3ZI1
Q9NZD2 1SWX
P46976 3Q4S
P11217 1Z8D
P06737 1EM6
P11216 5IKO
Q14749 1R74
P50440 1JDW
O14556 3H9E
P04406 1U8F
P09211 10GS
P78417 1EEM
P21266 3GTU
Q07075 4KX7
Q16769 1MOI
Q06210 2V4M
P15104 2OJW
Q9C0E4 1V62
Q13224 1S11
Q05586 2HQW
O43424 5KC8
Q04609 1Z8L
P06744 1IAT
P11413 1QKI
Q14397 4BB9
Q92990 4F52
Q6ZMI3 5YBY
P14136 6A9P
Q9NQX3 1JLJ
O60763 2W3C
P32780 1PFJ
P19447 4ERN
P06396 1C0F
Q13630 4B8W
O75140 6CES
Q9NXN4 4UML
P17900 1G13
O75223 2I5T
Q92820 1L9X
P09104 1TE6
P07320 1H4A
Q9UBS5 4MQE
Q3ZCW2 2JJ6
O00214 2YRO
P47929 1BKZ
Q08380 1BY2
P17931 1A3K
Q05315 1G86
Q9NYZ3 6QNN
P30279 6EI2
Q12849 2LMI
Q6ZNL6 3MPX
Q9BQS8 5CX3
P09958 4OMC
P07954 3E04
P04075 1ALD
Q96PY5 4YC7
O95466 4YDH
Q9P278 6NZD
P15328 4KM6
P30043 1HDO
Q17RS7 5T9J
Q14315 1V05
O75369 2DI8
P21333 2AAV
P20930 4PCW
Q15485 2J0G
P02751 1E88
Q06828 5MX0
P02679 1DUG
P02675 1FZA
P02671 1BBR
P35555 1APJ
Q9Y4F1 4H6Y
Q0Z7S8 4A60
Q01469 1B56
P49327 1XKT
Q8IYD8 4BXO
Q9BXW9 6VAA
Q969H0 2OVP
Q5VZK9 3LK2
P52907 1MQ1
P15311 1NI2
P08294 2JLP
Q14152 3J8B
P60842 2G9N
O00418 5J8H
Q8TBG4 6TOR
Q96HE7 3AHQ
Q9Y3B6 6Y4L
Q08345 3ZOS
Q9H6S3 1WWU
P20827 3CZU
P54756 2R2P
Q92817 4QMD
Q96DC8 2VX2
P42892 3DWB
O60869 1X57
Q9UPY3 2EB1
P14625 4NH9
Q9BS26 2R2J
P30040 2QC7
Q9UKM7 1FMI
P11021 3IUC
Q6P179 3SE6
Q9NZ08 2YD0
Q9Y6C2 2KA3
Q7Z2Z2 5ANB
Q96RP9 6VLZ
P13639 4V6X
P26641 1PBU
Q6PJG2 6Z2J
P13804 1EFV
P19957 1FLE
Q9P2K8 6N3L
Q96C19 5H0P
Q9HC35 4CGC
Q15075 1HYI
Q14258 4CFG
P98170 1C9Q
Q96T88 2FAZ
O95071 1I2T
Q86WT6 4NQJ
Q9BRZ2 5JW7
Q13049 2CT2
Q149N8 2M85
Q5XPI4 2MA6
Q6PCD5 6CVZ
O75592 5O6C
Q86YT6 4TSE
Q5T0T0 2D8S
Q8TBB1 3B76
Q96J02 2DMV
Q7Z6Z7 2EKK
O95714 2KEO
Q9P2P5 2LFE
Q76N89 3L4H
Q9ULT8 2DK3
O75925 1V66
P11532 1DXX
Q14118 1EG4
Q03001 3GJO
Q8IZA0 2YRL
O75923 4CAH
Q8WXX0 6RZA
Q9UQ16 3L43
P50570 2YS1
O00429 3W6N
Q16829 4Y2E
P28562 6APX
P49761 2EU9
Q8TD84 1VA9
P55265 1QBJ
O95793 4DKK
P46977 6S7O
Q13217 2Y4T
Q9UBS3 2CTR
P31689 2LO1
O00411 3SPA
P19387 5IY6
P30876 5IY6
P24928 2GHQ
P78527 5LUQ
P38935 1MSZ
P48382 2KW3
Q14566 2KLQ
P49736 4UUZ
Q14691 2E9X
P51530 5EAY
P18887 1CDZ
P43351 1H2I
Q92878 5GOX
O75417 4X0P
Q07864 5VBN
Q14181 2KEB
P09884 1K0P
P52701 2GFU
P40692 3RBN
Q5T890 6HQ9
Q2NKX8 5JNO
Q03468 4CVO
Q9UBC3 3FLG
Q9Y6K1 2QRV
P26358 3EPZ
Q9NRI5 5V4B
O14490 5YPO
P78352 1KEF
Q92796 1UM7
Q15700 2BYG
O14672 1M1I
P98082 2LSW
P27487 1J2E
Q9NY33 3FVY
Q9UHL4 3JYH
P53634 1K3B
Q14195 4BKN
Q16555 2GSE
Q14194 4B3Z
P36957 6H05
P09622 1ZMC
P15924 1LM5
P32926 5EQX
Q14126 2YQG
Q02487 5ERP
Q08554 5IRY
Q6E0U4 4F20
P81605 2KSG
Q5TB30 2YSR
Q9Y3Z3 2E8O
Q9NZJ0 6QC0
Q8TEH3 6EKK
P30038 3V9G
Q14739 2DIG
Q9UGM3 6SA4
Q96N67 6AJ4
Q92608 2RQR
Q14185 3L4C
Q9BTC0 2M3H
Q8NEU8 4H8S
P49902 2J2C
O75891 2BW0
Q14008 4QMI
P51813 2EKX
Q7L576 3P8C
Q8NCM8 4RH7
Q14204 2BOR
P20813 3IBD
P99999 1J3S
P22695 5XTE
P32320 1MQ0
Q9Y697 5KZ5
P28325 1RN7
P01034 1G96
P04080 1STF
P01040 1CYU
O14976 4C57
O76039 4BGQ
P50750 1PF6
Q8IWT3 2JUF
Q14999 2JNG
Q93034 3DPL
Q13618 2MYL
Q13616 1LDJ
O60494 3KQ4
Q96PZ7 2EHF
Q9H668 4JOI
Q2NKJ3 5W2L
Q96AY2 2ZIU
Q9BZJ0 5MQF
P12532 1QK1
P08185 2VDX
P06850 1GO9
Q53SF7 2DAJ
Q9BT78 4D0P
Q9C0A0 4NXQ
Q9UHC6 5Y4M
O94779 4N68
Q9P232 1WJ3
Q12860 2EE2
Q9H9E3 3HR0
Q8WXI2 2EAN
Q9BPX3 6IGX
Q15003 6IGX
P08603 1FHC
P00751 1DLE
P08174 1H03
P01031 1CFA
P0C0L5 4XAM
P0C0L4 1HZF
P01024 1C3D
P06681 2I6Q
P09871 1ELV
P23508 6MTU
P12111 1KNT
Q14050 5CTD
Q01955 5NB0
P08123 5CTD
P39060 1BNL
P20908 1A89
P20849 2UUR
P02462 1LI1
P02452 1Q7D
Q9H0W5 4LG6
Q8WVM7 5QSM
P23528 1Q8G
P00748 4BDW
P00451 1CFG
P12259 1CZS
P00740 1CFH
Q14019 1T2L
Q92187 5Y22
Q9P2I0 6URG
Q00610 2XZG
O75390 5UZP
Q96JM3 5XPT
Q9HCK8 2CKA
Q8TD26 2EPB
O14646 2B2T
O15335 5LFN
P35790 2CKO
Q9Y696 2AHE
O00299 1K0M
Q15782 4AY1
Q9BWS9 3BXW
Q96FZ7 2K3W
Q13237 5BV6
Q13976 1ZXA
P00450 1KCW
Q9BV73 6OQA
Q5VT06 2COZ
Q96MT8 6CSU
Q86XR8 4L0R
Q8TEP8 4N7Z
Q5SW79 4JON
O94986 4N7V
Q66GS9 5FCN
Q96H22 6BUZ
Q03188 5LSJ
P29373 1BLR
P60953 1A4R
P21926 6K4J
P13987 1CDQ
P16070 1POZ
A5YKK6 4C0D
P11717 1E6F
Q9UBR2 1DEU
P25774 1BXF
P07711 1CJL
P08311 1AU8
P07339 1LYA
P07858 1CSB
P49913 2FBS
O60716 3L6X
P35221 1H6G
P04040 1DGB
Q14790 1F9E
P48729 5FQD
Q9NQ75 2CRE
P31997 2DKS
P06731 1E07
P13688 2GK2
O75976 5AQ0
Q9UI42 2BO9
O75828 2HRB
P16152 1WMA
P23280 3FE4
P07451 1Z93
P00918 12CA
P00915 1AZM
P31327 2YVQ
Q6IMN6 4OUL
Q8N3C7 2Z0W
Q07343 1F0J
P27815 2QYK
P27797 2CLR
P20807 1Y9V
P07384 1ZCM
P04632 1KFU
Q9NZT1 2B1U
P27482 1GGZ
Q16566 2W4O
Q96RR4 2ZV2
Q01064 1LXR
P54750 1LXQ
Q9ULU8 1WI1
Q9H251 2KBR
P12830 1O6S
P27708 4BY3
Q9NRJ3 6CWS
P11586 1A4I
Q9BRD0 5Z56
Q9H8M2 3HME
P25440 1X0J
Q9NSI6 3Q2E
Q9ULD4 3PFS
Q9UIF9 4LZ2
Q9NRL2 5UIY
Q9UBW5 4AVM
Q9Y6D5 3L8N
P51587 1N0W
P38398 1JM7
P56945 1WYX
Q99728 1JM7
Q9NP55 4KEG
Q9NSY1 4W9W
Q13867 1CB5
P07738 1T8P
O95342 6LR0
Q9Y223 2YHW
Q96T60 2BRF
Q9Y4K1 2DAD
P07686 1NOU
P06865 1QBC
P13929 2XSX
O15263 1E4Q
Q13425 2VRF
P61769 1A1M
P02749 1C1Z
P15291 2AE7
Q5T5X7 5JNO
Q6W2J9 2N1L
P98160 3SH4
Q8NFJ9 6XT9
Q9NR09 3CEG
P17213 1BP1
P20273 5VKJ
O00512 2GL7
P20160 1A7S
Q7Z3C6 6WQZ
Q2TAZ0 6KLR
O14965 1MQ4
Q9ULI0 2DKW
Q01813 4RH3
P53396 3MWD
Q9H222 5DO7
Q09428 6C3O
Q8WXF7 3Q5D
O15265 2KKR
Q99856 2KK0
Q8NFD5 2CXY
O14497 1RYU
Q12797 5APA
Q9ULA0 4DYO
Q6PI48 4AH6
P00505 5AX8
P17174 3II0
O43776 4ZYA
P15848 1FSU
P15289 1AUK
P05089 1WVA
Q8WZ64 1X40
Q96P48 4X1V
Q99490 2BMJ
Q15027 3JUE
P16050 2ABT
P18054 2ABU
O14727 1C15
P02649 1B68
P05090 2APD
P06727 3S84
P02647 1AV1
Q9Y6B7 2MJ7
P01008 1ANT
P03973 2Z7F
O95994 2LNS
P08758 1ANW
P09525 2ZOC
P12429 1AII
P07355 1W7B
P04083 1AIN
Q12955 4O6X
Q9BXX3 6R2L
Q68DC2 4NL9
Q9NQW6 2Y7B
P01019 1N9U
Q02763 1FVR
Q4VCS5 6JJX
P03950 1A4Y
Q9Y679 2EKF
Q9UJX4 4UI9
Q9UJX6 4UI9
Q9H1A4 4UI9
P05067 1AAP
O96018 2YT7
Q9UBD6 3HD6
Q03154 1Q7L
Q12904 1E7Z
P54802 4XWH
P17050 3H53
P35475 1Y24
P06733 2PSN
P02511 2KLR
P0DUB6 1C8Q
O43707 1WLX
Q08043 1TJT
P35609 1H8B
P12814 2EYI
P01023 1BV8
P01009 1ATU
P01011 1AS4
P19652 3APU
P02763 3KQ0
Q9BYC5 2DE0
Q9BQI0 2JJZ
Q96BT7 2CQ2
O60218 1ZUA
P14550 2ALR
Q06278 4UHW
P05091 1CW3
P30838 3SZA
P51648 4QGK
P47895 5FHZ
P40394 1AGN
P02768 1AO6
Q5JTZ9 6NLQ
P49588 4XEM
P43652 5OKL
