UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
P10933,FENR1_PEA,reviewed,"Ferredoxin--NADP reductase, leaf isozyme, chloroplastic (FNR) (EC 1.18.1.2)",PETH,Pisum sativum (Garden pea),360,X-ray crystallography (8),P10933;,,
Q43715,TOC75_PEA,reviewed,"Protein TOC75, chloroplastic (75 kDa chloroplast outer envelope protein) (75 kDa translocon at the outer-envelope membrane of chloroplasts) (Import intermediate-associated protein of 75 kDa)",TOC75 IAP75 OEP75,Pisum sativum (Garden pea),809,,Q43715;,,
Q41058,GLGB1_PEA,reviewed,"1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic (EC 2.4.1.18) (Starch branching enzyme I)",SBEI,Pisum sativum (Garden pea),922,,Q41058;,,
O24648,G3OX_PEA,reviewed,Gibberellin 3-beta-dioxygenase 1 (EC 1.14.11.15) (GA 3-oxidase 1) (Gibberellin 3 beta-hydroxylase 1),LE,Pisum sativum (Garden pea),374,,O24648;,,
O04300,RGP1_PEA,reviewed,Probable UDP-arabinopyranose mutase 1 (EC 5.4.99.30) (Reversibly glycosylated polypeptide 1) (RGP1) (UDP-L-arabinose mutase 1) (UDP-glucose:protein transglucosylase) (UPTG),UPTG RGP1,Pisum sativum (Garden pea),364,,,,
P21528,MDHP_PEA,reviewed,"Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)",,Pisum sativum (Garden pea),441,,P21528;,,
Q9XH46,TATA_PEA,reviewed,"Sec-independent protein translocase protein TATA, chloroplastic (Protein THYLAKOID ASSEMBLY 4) (Protein TWIN-ARGININE TRANSLOCATION A)",TATA THA4,Pisum sativum (Garden pea),137,,Q9XH46;,,
P48534,APX1_PEA,reviewed,"L-ascorbate peroxidase, cytosolic (AP) (EC 1.11.1.11) (PsAPx01)",APX1 APPX1,Pisum sativum (Garden pea),250,X-ray crystallography (1),P48534;,,
P06006,PSBD_PEA,reviewed,Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein),psbD,Pisum sativum (Garden pea),353,Electron microscopy (2),P06006;,,
P04717,RBL_PEA,reviewed,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39),rbcL,Pisum sativum (Garden pea),475,X-ray crystallography (2),P04717;,,
Q41008,ACCA_PEA,reviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15) (pIEP96)",ACCA,Pisum sativum (Garden pea),875,,Q41008;,,
P27490,CB28_PEA,reviewed,"Chlorophyll a-b binding protein 8, chloroplastic (LHCII type I CAB-8)",CAB8 LHCB1,Pisum sativum (Garden pea),268,Electron microscopy (4),P27490;,,
P80572,ADHX_PEA,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),,Pisum sativum (Garden pea),378,,P80572;,,
Q6RET6,CCAMK_PEA,reviewed,Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase (EC 2.7.11.17) (Ps-SYM9) (PsCCaMK) (Fragment),SYM9,Pisum sativum (Garden pea),527,,Q6RET6;,,
Q5W915,USP_PEA,reviewed,UDP-sugar pyrophospharylase (PsUSP) (EC 2.7.7.64),USP,Pisum sativum (Garden pea),600,,Q5W915;,,
P93484,VSR1_PEA,reviewed,Vacuolar-sorting receptor 1 (80 kDa proaleurein-binding protein) (BP-80),BP80,Pisum sativum (Garden pea),623,,P93484;,,
Q40983,SPP_PEA,reviewed,"Stromal processing peptidase, chloroplastic (EC 3.4.24.-) (Chloroplast processing enzyme)",SPP CPE,Pisum sativum (Garden pea),1257,,Q40983;,,
P30124,HEM2_PEA,reviewed,"Delta-aminolevulinic acid dehydratase, chloroplastic (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase) (Fragment)",HEMB ALAD,Pisum sativum (Garden pea),398,,P30124;,,
P27520,CB215_PEA,reviewed,"Chlorophyll a-b binding protein 215, chloroplastic (LHCII type II CAB-215) (LHCP)",CAB215 LHCB2,Pisum sativum (Garden pea),265,,P27520;,,
P26969,GCSP_PEA,reviewed,"Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))",GDCSP GDCP,Pisum sativum (Garden pea),1057,,P26969;,,
P17067,CAHC_PEA,reviewed,"Carbonic anhydrase, chloroplastic (EC 4.2.1.1) (Carbonate dehydratase) [Cleaved into: Carbonic anhydrase, 27 kDa isoform; Carbonic anhydrase, 25 kDa isoform]",,Pisum sativum (Garden pea),328,X-ray crystallography (1),P17067;,,
Q99285,H2B_PEA,reviewed,Histone H2B (Fragments),HIS2B,Pisum sativum (Garden pea),120,,Q99285;,,
O24308,TOP2_PEA,reviewed,DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II) (PsTopII),TOP2 TOPII,Pisum sativum (Garden pea),1462,,O24308;,,
O24303,TI110_PEA,reviewed,"Protein TIC110, chloroplastic (Chloroplast inner envelope protein, 110 kDa) (psIEP110) (IAP100) (Translocon at the inner envelope membrane of chloroplasts 110)",TIC110 IEP110,Pisum sativum (Garden pea),996,,O24303;,,
Q8LKZ1,NORK_PEA,reviewed,Nodulation receptor kinase (EC 2.7.11.1),NORK SYM19,Pisum sativum (Garden pea),924,,Q8LKZ1;,,
A0A161AT60,NLTP1_PEA,reviewed,Non-specific lipid-transfer protein 1 (PsLTP1) (allergen Pis s 3),,Pisum sativum (Garden pea),120,NMR spectroscopy (1),A0A161AT60;,,
Q94G16,TATB_PEA,reviewed,"Sec-independent protein translocase protein TATB, chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 106) (Protein TWIN-ARGININE TRANSLOCATION B)",TATB HCF106,Pisum sativum (Garden pea),261,,,,
Q93XK2,STSYN_PEA,reviewed,Stachyose synthase (EC 2.4.1.67) (Galactinol--raffinose galactosyltransferase),STS1,Pisum sativum (Garden pea),853,,,,
Q9SQ80,G2OX1_PEA,reviewed,Gibberellin 2-beta-dioxygenase 1 (EC 1.14.11.13) (GA 2-oxidase 1) (Gibberellin 2-beta-hydroxylase 1) (Gibberellin 2-oxidase 1) (Protein SLENDER),GA2OX1 SLN,Pisum sativum (Garden pea),327,,Q9SQ80;,,
O49929,OEP24_PEA,reviewed,"Outer envelope pore protein 24, chloroplastic (Chloroplastic outer envelope pore protein of 24 kDa)",OEP24,Pisum sativum (Garden pea),213,,,,
P04159,CB21_PEA,reviewed,Chlorophyll a-b binding protein AB96 (LHCII type I CAB-AB96) (LHCP) (Major 15) (Fragment),AB96,Pisum sativum (Garden pea),228,,P04159;,,
P68427,H32_PEA,reviewed,Histone H3.2,,Pisum sativum (Garden pea),136,,P68427;,,
Q9SQL2,CB24_PEA,reviewed,"Chlorophyll a-b binding protein P4, chloroplastic (LHCI type III CAB-P4)",lhcA-P4,Pisum sativum (Garden pea),252,X-ray crystallography (9); Model (1),Q9SQL2;,,
P27456,GSHRP_PEA,reviewed,"Glutathione reductase, chloroplastic/mitochondrial (GR) (GRase) (EC 1.8.1.7) (GOR1)",GR GOR1,Pisum sativum (Garden pea),552,,P27456;,,
P19975,FRI1_PEA,reviewed,"Ferritin-1, chloroplastic (EC 1.16.3.1)",,Pisum sativum (Garden pea),253,,P19975;,,
P93472,DIM_PEA,reviewed,Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein diminuto),DIM LKB,Pisum sativum (Garden pea),567,,,,
D5MAG1,D5MAG1_PEA,unreviewed,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA,Pisum sativum (Garden pea),353,,D5MAG1;,,
Q41062,SECA_PEA,reviewed,"Protein translocase subunit SecA, chloroplastic (EC 7.4.2.4)",SecA,Pisum sativum (Garden pea),1011,,Q41062;,,
A0A2S1CDW7,A0A2S1CDW7_PEA,unreviewed,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA,Pisum sativum subsp. elatius,353,,A0A2S1CDW7;,,
A0A385JEG9,A0A385JEG9_PEA,unreviewed,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA,Pisum sativum subsp. sativum,353,,A0A385JEG9;,,
Q40987,LECR_PEA,reviewed,Nodule lectin (PsNlec-1),NLEC1,Pisum sativum (Garden pea),270,,Q40987;,,
Q32904,CB23_PEA,reviewed,"Chlorophyll a-b binding protein 3, chloroplastic (LHCII type III CAB-3)",lhca3,Pisum sativum (Garden pea),275,X-ray crystallography (5),Q32904;,,
O24304,FNTA_PEA,reviewed,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha),FTA,Pisum sativum (Garden pea),333,,O24304;,,
P46275,F16P1_PEA,reviewed,"Fructose-1,6-bisphosphatase, chloroplastic (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)",FBP,Pisum sativum (Garden pea),407,X-ray crystallography (3),P46275;,,
Q9SM57,OEP21_PEA,reviewed,"Outer envelope pore protein 21, chloroplastic (Chloroplastic outer envelope pore protein of 21 kDa) (gOEP21)",OEP21,Pisum sativum (Garden pea),177,,,,
Q41059,GLGB2_PEA,reviewed,"1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic (EC 2.4.1.18) (Starch branching enzyme I) (Fragment)",SBEII,Pisum sativum (Garden pea),826,,Q41059;,,
O04279,GPA2_PEA,reviewed,Guanine nucleotide-binding protein alpha-2 subunit (GP-alpha-2),GPA2 GA2,Pisum sativum (Garden pea),384,,O04279;,,
O04278,GPA1_PEA,reviewed,Guanine nucleotide-binding protein alpha-1 subunit (GP-alpha-1),GPA1 GA1,Pisum sativum (Garden pea),384,,O04278;,,
Q6RVV4,TIC32_PEA,reviewed,"Short-chain dehydrogenase TIC 32, chloroplastic (EC 1.1.1.-) (Translocon at the inner envelope membrane of chloroplasts 32) (PsTIC32)",TIC32 HP32 IEP32,Pisum sativum (Garden pea),316,,Q6RVV4;,,
Q8SKU2,TIC62_PEA,reviewed,"Protein TIC 62, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 62) (PsTIC62)",TIC62,Pisum sativum (Garden pea),534,X-ray crystallography (1),Q8SKU2;,,
O24305,M3OM1_PEA,reviewed,(+)-6a-hydroxymaackiain 3-O-methyltransferase 1 (EC 2.1.1.270) (Isoflavone 4'-O-methyltransferase) (EC 2.1.1.46),HMM1 HMM6,Pisum sativum (Garden pea),360,,O24305;,,
P05310,PSAA_PEA,reviewed,Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA),psaA psaA1,Pisum sativum (Garden pea),758,X-ray crystallography (9); Model (1),P05310;,,
P19026,CDC21_PEA,reviewed,Cell division control protein 2 homolog 1 (EC 2.7.11.22) (EC 2.7.11.23) (p34) (Fragment),CDC2,Pisum sativum (Garden pea),148,,P19026;,,
Q41050,OEP16_PEA,reviewed,"Outer envelope pore protein 16, chloroplastic (Chloroplastic outer envelope pore protein of 16 kDa)",OEP16,Pisum sativum (Garden pea),146,,,,
P09911,FER1_PEA,reviewed,"Ferredoxin-1, chloroplastic (Ferredoxin I)",PETF FED1,Pisum sativum (Garden pea),149,,P09911;,,
O49931,TIC55_PEA,reviewed,"Protein TIC 55, chloroplastic (Rieske iron-sulfur protein TIC55) (Translocon at the inner envelope membrane of chloroplasts 55) (PsTIC55)",TIC55,Pisum sativum (Garden pea),553,,,,
Q94G17,TATC_PEA,reviewed,"Sec-independent protein translocase protein TATC, chloroplastic (Protein TWIN-ARGININE TRANSLOCATION C) (cpTatC)",TATC,Pisum sativum (Garden pea),353,,,,
P02233,LGB1_PEA,reviewed,Leghemoglobin-1 (Leghemoglobin I),,Pisum sativum (Garden pea),148,,P02233;,,
P47923,NDK2_PEA,reviewed,"Nucleoside diphosphate kinase 2, chloroplastic (EC 2.7.4.6) (Nucleoside diphosphate kinase II) (NDK II) (NDP kinase II) (NDPK II) [Cleaved into: Nucleoside diphosphate kinase 2 high molecular weight; Nucleoside diphosphate kinase 2 low molecular weight]",NDPK2,Pisum sativum (Garden pea),230,,P47923;,,
O82043,ILV5_PEA,reviewed,"Ketol-acid reductoisomerase, chloroplastic (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)",PGAAIR,Pisum sativum (Garden pea),581,,O82043;,,
Q9S8P4,RHRE_PEA,reviewed,Rhicadhesin receptor (Germin-like protein),GER1,Pisum sativum (Garden pea),217,,Q9S8P4;,,
P46259,TBA1_PEA,reviewed,Tubulin alpha-1 chain,TUBA1,Pisum sativum (Garden pea),452,,P46259;,,
Q43092,SSG1_PEA,reviewed,"Granule-bound starch synthase 1, chloroplastic/amyloplastic (EC 2.4.1.242) (Granule-bound starch synthase I) (GBSS-I)",,Pisum sativum (Garden pea),603,,Q43092;,,
P16048,GCSH_PEA,reviewed,"Glycine cleavage system H protein, mitochondrial",GDCSH GCDH,Pisum sativum (Garden pea),165,X-ray crystallography (3),P16048;,,
P21226,CHI2_PEA,reviewed,Endochitinase A2 (EC 3.2.1.14),CHI2,Pisum sativum (Garden pea),324,,P21226;,,
Q9MUK5,TOC64_PEA,reviewed,Translocon at the outer membrane of chloroplasts 64,TOC64,Pisum sativum (Garden pea),593,,,,
O98679,NDHK_PEA,reviewed,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)",ndhK,Pisum sativum (Garden pea),227,,O98679;,,
Q4VY51,SYM8_PEA,reviewed,Probable ion channel SYM8 (DMI1 protein homolog),SYM8 DMI1,Pisum sativum (Garden pea),894,,Q4VY51;,,
Q4LDF9,OEP37_PEA,reviewed,"Outer envelope pore protein 37, chloroplastic (Chloroplastic outer envelope pore protein of 37 kDa) (PsOEP37)",OEP37,Pisum sativum (Garden pea),329,,,,
P12859,G3PB_PEA,reviewed,"Glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase subunit B)",GAPB GPB1,Pisum sativum (Garden pea),451,,P12859;,,
P12858,G3PA_PEA,reviewed,"Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase subunit A)",GAPA GPA1,Pisum sativum (Garden pea),405,,P12858;,,
P49364,GCST_PEA,reviewed,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)",GDCST GDCT,Pisum sativum (Garden pea),408,,P49364;,,
P12786,COX1_PEA,reviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I),COX1 COXI,Pisum sativum (Garden pea),527,,,,
Q04903,FNTB_PEA,reviewed,Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta),FTB,Pisum sativum (Garden pea),419,,Q04903;,,
Q8LSN3,FYPP_PEA,reviewed,Phytochrome-associated serine/threonine-protein phosphatase (EC 3.1.3.16) (PsFyPP),FYPP,Pisum sativum (Garden pea),303,,Q8LSN3;,,
A0A109QYD3,RMS3_PEA,reviewed,Strigolactone esterase RMS3 (EC 3.1.-.-) (Protein DWARF 14 homolog) (PsD14) (Protein RAMOSUS 3),RMS3,Pisum sativum (Garden pea),267,,A0A109QYD3;,,
P10793,PSAC_PEA,reviewed,Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC),psaC frxA,Pisum sativum (Garden pea),81,X-ray crystallography (9); Model (1),P10793;,,
P13554,PSBE_PEA,reviewed,Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE,Pisum sativum (Garden pea),83,Electron microscopy (2),P13554;,,
P49613,METK2_PEA,reviewed,S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2),SAMS2,Pisum sativum (Garden pea),374,,P49613;,,
O82709,CALX_PEA,reviewed,Calnexin homolog,,Pisum sativum (Garden pea),551,,,,
Q43082,HEM3_PEA,reviewed,"Porphobilinogen deaminase, chloroplastic (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)",HEMC,Pisum sativum (Garden pea),369,,Q43082;,,
P11964,SODCP_PEA,reviewed,"Superoxide dismutase [Cu-Zn], chloroplastic (EC 1.15.1.1)",SODCP SOD2,Pisum sativum (Garden pea),202,,P11964;,,
P81406,GAPN_PEA,reviewed,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.9) (Glyceraldehyde-3-phosphate dehydrogenase [NADP(+)]) (Non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase) (Triosephosphate dehydrogenase),GAPN,Pisum sativum (Garden pea),496,,P81406;,,
P05311,PSAB_PEA,reviewed,Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB),psaB psaA2,Pisum sativum (Garden pea),734,X-ray crystallography (8); Model (1),P05311;,,
P62788,H4_PEA,reviewed,Histone H4,,Pisum sativum (Garden pea),103,,P62788;,,
Q43621,GSHRC_PEA,reviewed,"Glutathione reductase, cytosolic (GR) (GRase) (EC 1.8.1.7) (GOR2)",,Pisum sativum (Garden pea),498,,Q43621;,,
Q9ZZT8,CYB_PEA,reviewed,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,Pisum sativum (Garden pea),392,,Q9ZZT8;,,
P25890,CATA_PEA,reviewed,Catalase (EC 1.11.1.6),,Pisum sativum (Garden pea),494,,P25890;,,
P49612,METK1_PEA,reviewed,S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Fragment),SAMS1,Pisum sativum (Garden pea),366,,P49612;,,
Q9LRH7,ABAMS_PEA,reviewed,Mixed-amyrin synthase (EC 5.4.99.39) (EC 5.4.99.40),OSCPSM,Pisum sativum (Garden pea),764,,Q9LRH7;,,
O24310,EFTU_PEA,reviewed,"Elongation factor Tu, chloroplastic (EF-Tu)",tufA,Pisum sativum (Garden pea),488,,,,
Q4LAP5,Q4LAP5_PEA,unreviewed,Glycine cleavage system H protein,gdcH,Pisum sativum subsp. asiaticum,165,,Q4LAP5;,,
G8YZP1,G8YZP1_PEA,unreviewed,PsbA peptide (Fragment),psbA,Pisum sativum subsp. transcaucasicum,20,,,,
A0A6G7K4T7,A0A6G7K4T7_PEA,unreviewed,Convicilin (Fragment),CvcA,Pisum sativum subsp. sativum,217,,,,
A0A4Y6JLX1,A0A4Y6JLX1_PEA,unreviewed,MLO-like protein,MOL1 MLO,Pisum sativum subsp. sativum,531,,,,
A0A3G1RRQ9,A0A3G1RRQ9_PEA,unreviewed,Ent-kaurene oxidase (Fragment),Lh,Pisum sativum subsp. sativum,68,,,,
A0A6G7K4Z2,A0A6G7K4Z2_PEA,unreviewed,Convicilin (Fragment),CvcA,Pisum sativum subsp. sativum,217,,,,
A0A6M3QML9,A0A6M3QML9_PEA,unreviewed,Phosphoglucomutase (Fragment),Pgmc,Pisum sativum subsp. sativum,27,,,,
A0A346RVA2,A0A346RVA2_PEA,unreviewed,Purple-podded (Fragment),Pur,Pisum sativum subsp. sativum,159,,,,
A0A345K4U2,A0A345K4U2_PEA,unreviewed,Cytosolic glucose phosphate isomerase (EC 5.3.1.9) (Fragment),,Pisum sativum subsp. sativum,23,,,,
A0A346RVB0,A0A346RVB0_PEA,unreviewed,Purple-podded (Fragment),Pur,Pisum sativum subsp. sativum,159,,,,
A0A2S1CE36,A0A2S1CE36_PEA,unreviewed,"50S ribosomal protein L32, chloroplastic",rpl32,Pisum sativum subsp. elatius,73,,,,
A0A2S1CDZ6,A0A2S1CDZ6_PEA,unreviewed,NADH dehydrogenase subunit I,ndhI,Pisum sativum subsp. elatius,166,,,,
A0A3G1RRU9,A0A3G1RRU9_PEA,unreviewed,Gibberellin 2-oxidase (Fragment),Sln,Pisum sativum subsp. sativum,201,,,,
A0A6M3QMQ1,A0A6M3QMQ1_PEA,unreviewed,Quinate/shikimate 5-dehydrogenase (Fragment),Skdh,Pisum sativum subsp. sativum,73,,,,
A0A6M3QJD6,A0A6M3QJD6_PEA,unreviewed,Quinate/shikimate 5-dehydrogenase (Fragment),Skdh,Pisum sativum subsp. sativum,73,,,,
A0A4D6FYF7,A0A4D6FYF7_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A6G7K4S6,A0A6G7K4S6_PEA,unreviewed,CCAAT-binding transcription factor (Fragment),,Pisum sativum subsp. sativum,78,,,,
A0A6G7K4T5,A0A6G7K4T5_PEA,unreviewed,CCAAT-binding transcription factor (Fragment),,Pisum sativum subsp. sativum,30,,,,
A0A6M3QIT4,A0A6M3QIT4_PEA,unreviewed,Pheophorbide A oxygenase (Fragment),Pao,Pisum sativum subsp. sativum,111,,,,
A0A172S0Z5,A0A172S0Z5_PEA,unreviewed,Early flowering 3/high response (Fragment),ELF3 HR,Pisum sativum subsp. sativum,690,,,,
A0A172S145,A0A172S145_PEA,unreviewed,Late flowering,,Pisum sativum subsp. sativum,173,,,,
A0A346RVB1,A0A346RVB1_PEA,unreviewed,Purple-podded (Fragment),Pur,Pisum sativum subsp. sativum,159,,,,
A0A346RVC3,A0A346RVC3_PEA,unreviewed,Cytosolic alanine aminotransferase (Fragment),,Pisum sativum subsp. sativum,74,,,,
D5MAM9,D5MAM9_PEA,unreviewed,"30S ribosomal protein S19, chloroplastic",rps19,Pisum sativum (Garden pea),92,,D5MAM9;,,
A0ZXY5,A0ZXY5_PEA,unreviewed,Glutaredoxin-dependent peroxiredoxin (EC 1.11.1.25) (Fragment),prxIIF,Pisum sativum (Garden pea),135,,,,
Q9SC39,Q9SC39_PEA,unreviewed,Germin-like protein (Fragment),ger2a,Pisum sativum (Garden pea),195,,,,
Q9TNN1,Q9TNN1_PEA,unreviewed,"D-fructose-1,6-bisphosphate 1-phosphohydrolase (EC 3.1.3.11)",gF16P,Pisum sativum (Garden pea),357,,,,
A0A1U9X421,A0A1U9X421_PEA,unreviewed,Bidirectional sugar transporter SWEET,SWEET15a,Pisum sativum (Garden pea),290,,,,
A0A1U9X419,A0A1U9X419_PEA,unreviewed,Bidirectional sugar transporter 5b-like protein (Fragment),SWEET5b,Pisum sativum (Garden pea),79,,,,
Q18PQ7,Q18PQ7_PEA,unreviewed,Peroxidase (EC 1.11.1.7),,Pisum sativum (Garden pea),350,,Q18PQ7;,,
Q41026,Q41026_PEA,unreviewed,HMG 1 protein,,Pisum sativum (Garden pea),154,,,,
Q43625,Q43625_PEA,unreviewed,Putative ORF; conserved in 5' leaders of plant SAMdC,,Pisum sativum (Garden pea),54,,,,
A0A1U9X431,A0A1U9X431_PEA,unreviewed,Amino acid permease 3a-like protein (Fragment),AAP3a,Pisum sativum (Garden pea),137,,,,
Q9AXL4,Q9AXL4_PEA,unreviewed,Ferredoxin-NADP+ reductase (Fragment),,Pisum sativum (Garden pea),145,,,,
A0A0K0L4B6,A0A0K0L4B6_PEA,unreviewed,Phosphoglucan water dikinase chloroplastic-like protein (Fragment),,Pisum sativum (Garden pea),170,,,,
P93473,P93473_PEA,unreviewed,Gibberellin 20-oxidase (EC 1.14.11.15),,Pisum sativum (Garden pea),380,,,,
A0A1X7BZ85,A0A1X7BZ85_PEA,unreviewed,Pathogenesis-related protein 10,DRR49a,Pisum sativum (Garden pea),158,,,,
O65206,O65206_PEA,unreviewed,Ferredoxin-NADP+ reductase (Fragment),,Pisum sativum (Garden pea),27,,,,
E1C9L1,E1C9L1_PEA,unreviewed,PSI subunit V,,Pisum sativum (Garden pea),161,X-ray crystallography (5),,,
