 PDB_ID surface_ratio UniProtACID Organism
41 6KLR 0.1477230183487665 Q2TAZ0 human
42 1E6F 0.1517878227193825 P11717 human
43 1KKQ 0.2008224771995336 Q9Y618 human
44 3BBP 0.15034898601229987 Q8IWJ2 human
45 1GAG 0.1586791195404226 P06213 human
46 2YVQ 0.20335062421553354 P31327 human
47 1G9O 0.19435846080155209 O14745 human
48 1S4J 0.2147490369523156 P05387 human
49 2LLH 0.11505484804273572 P06748 human
50 1P4U 0.1960104514908461 Q15276 human
51 1ZSX 0.11170906780710567 Q13303 human
52 1TGZ 0.16053003943870556 Q9HC62 human
53 6V7N 0.17910391539442294 P38571 human
54 3MB3 0.12923517726412814 Q8WWQ0 human
55 1B2Y 0.13952001139125347 P04746 human
56 6B4F 0.1998573778629839 Q53GS7 human
57 2DS4 0.15778001523212426 Q9H8W5 human
58 3GRO 0.15302559075673994 P50897 human
59 3GJO 0.2529959880550077 Q03001 human
60 1C0F 0.1378949891605148 P06396 human
61 2DM2 0.1829637183527464 Q8WX93 human
62 4NH9 0.124040082025884 P14625 human
63 1AVO 0.2093057017232259 Q06323 human
64 1G55 0.15059648000011613 O14717 human
65 2YQG 0.1978568918860856 Q14126 human
66 2GRC 0.13139468502294208 P51532 human
67 1J74 0.18121037463180092 Q15819 human
68 1ALD 0.1394450378767687 P04075 human
69 2BB5 0.16226648815186634 P20062 human
70 5U7Z 0.24001476551120585 Q13510 human
71 6I57 0.13407770509102301 Q07617 human
72 2DAD 0.16822407502925818 Q9Y4K1 human
73 1PSR 0.18595901824396205 P31151 human
74 5VYK 0.15252940351863672 Q8IVT5 human
75 1HTI 0.10692521601070112 P60174 human
76 6WG3 0.14796649059868605 Q9UQE7 human
77 6WG3 0.14796649059868605 Q14683 human
78 6WG3 0.14796649059868605 Q6KC79 human
79 1BHD 0.15666503168959234 P46939 human
80 5IQL 0.193367927154512 Q9ULM3 human
81 2EAQ 0.1334502092732093 Q8WWI1 human
82 4KM6 0.1499849736751913 P15328 human
83 5KC8 0.15542793543076552 O43424 human
84 2CFV 0.13323737506031433 Q12913 human
85 2FCF 0.14453199620551407 O75970 human
86 1OWA 0.19462518847486288 P02549 human
87 1G26 0.2372266478629608 P28799 human
88 1ZKK 0.14227397701123154 P62805 human
89 1JLJ 0.17225475130231302 Q9NQX3 human
90 1A00 0.20154705490526525 P68871 human
91 1A00 0.20154705490526525 P69905 human
92 6H05 0.2412348074609821 P36957 human
93 6YXQ 0.17494082093331234 Q8N3C0 human
94 2YYO 0.15967819055978774 Q8NCJ5 human
95 1PFJ 0.1233844156889418 P32780 human
96 1L9X 0.1449206833207955 Q92820 human
97 1GJJ 0.03854306123952784 P42166 human
98 3DPL 0.1689298205479199 Q93034 human
99 5VEI 0.1619040234808554 O94875 human
100 2CQO 0.2002892545983746 Q9NP64 human
101 5UIY 0.15081908833102772 Q9NRL2 human
102 2ZEJ 0.2306025446520303 Q5S007 human
103 3L4H 0.2091131452007036 Q76N89 human
104 2ZOC 0.129038316418024 P09525 human
105 6GN5 0.23565993074008326 Q8IYS0 human
106 2LMI 0.1446859371001734 Q12849 human
107 5WQD 0.16946371658997048 O60934 human
108 6MBM 0.2612810299891902 Q8N1T3 human
109 3F6K 0.18257873659451526 Q99523 human
110 6DMB 0.204925205784606 Q13635 human
111 1BKZ 0.14338510567158833 P47929 human
112 1YWT 0.1323895525931709 P31947 human
113 4O64 0.1372440734587541 Q8NHM5 human
114 1A7X 0.08998643450235161 P62942 human
115 5ERP 0.15934176841244632 Q02487 human
116 4B8W 0.11294702916016462 Q13630 human
117 5CX3 0.15015105996396258 Q9BQS8 human
118 1T2M 0.17252267567349575 P55196 human
119 6CSU 0.17647424521497546 Q96MT8 human
120 6CAJ 0.16042212812462933 P49770 human
121 2YT7 0.23908490259796306 O96018 human
122 4AOW 0.1452700230767126 P63244 human
123 3SZA 0.16396664544521336 P30838 human
124 2KRE 0.17483024586990492 O95155 human
125 3JXF 0.1456691321948461 P23471 human
126 6CPK 0.14416879612353434 Q9BYB0 human
127 5QSM 0.17983527034253946 Q8WVM7 human
128 4J5M 0.16223358615784114 Q9ULV0 human
129 4WFS 0.11283867943458502 Q9NX74 human
130 1T77 0.1897079257026313 P50851 human
131 1MR8 0.21390595238542948 P05109 human
132 5FUR 0.22159149201596026 P49848 human
133 5FUR 0.22159149201596026 Q6P1X5 human
134 4CRH 0.20124837597579628 Q8TBC3 human
135 3AAA 0.17735344897606695 P58546 human
136 1AZV 0.15487633620623287 P00441 human
137 2D8S 0.1961934315392673 Q5T0T0 human
138 1AOX 0.1273648721522798 P17301 human
139 5W2L 0.1759622145426671 Q2NKJ3 human
140 1J42 0.13130426196093048 Q99497 human
141 1AII 0.14220955835071758 P12429 human
142 6C95 0.15666596971517951 Q9BXJ9 human
143 1ZSV 0.12598461497732724 Q14914 human
144 5KI0 0.25264725554625783 P02538 human
145 3AIH 0.17332468694875938 Q13438 human
146 1XKI 0.1796861958616012 P31025 human
147 1HDO 0.17490562934912476 P30043 human
148 1QBJ 0.10223978788182517 P55265 human
149 2EEH 0.2238459417505853 Q9H5P4 human
150 6IEH 0.10236707763496032 Q9H7Z3 human
151 6FUF 0.297602296577052 P09471 human
152 2EQE 0.19572557049053466 P21580 human
153 5MR7 0.1399606790869314 Q6ISB3 human
154 6GFA 0.13446837845936108 Q92598 human
155 4REY 0.19008461044330247 Q08379 human
156 4F52 0.14959177732030776 Q92990 human
157 3II0 0.15316043378312874 P17174 human
158 2AF0 0.11755964532409575 P41220 human
159 4L8T 0.18442063398306574 Q9NQX4 human
160 2L8E 0.13230656270362115 P78364 human
161 3U84 0.19093562553141924 O00255 human
162 1BY2 0.1121628203307289 Q08380 human
163 1MB8 0.13840892337727198 Q15149 human
164 2YL2 0.11632911180315487 Q13085 human
165 5WOE 0.11766388592509965 Q9H3E2 human
166 5L23 0.11338014028557585 Q13905 human
167 4Z79 0.1685037985656262 P29536 human
168 1UJD 0.1374646101386126 Q9Y6V0 human
169 2GZD 0.144657300081226 Q7L804 human
170 1W7B 0.11864287014214905 P07355 human
171 6A0E 0.13733420961683093 Q96AB6 human
172 4A0D 0.16218227835118149 Q86W56 human
173 4ERV 0.15547687107384253 Q15413 human
174 2A4D 0.19474284783013765 Q13404 human
175 3BC1 0.17060862737210605 Q9HCH5 human
176 2EKK 0.15035657674995873 Q7Z6Z7 human
177 2YD0 0.11795324936662238 Q9NZ08 human
178 4CFG 0.255687848867286 Q14258 human
179 3V9G 0.15558854306456826 P30038 human
180 2BTP 0.15439687392102378 P27348 human
181 5W0B 0.1966233329236975 Q5VYS8 human
182 4BQ6 0.2059296744366866 Q6NW40 human
183 3FE1 0.12805877737115762 P17066 human
184 2J9L 0.20341421377857255 P51795 human
185 3GOY 0.1805445424849794 Q460N5 human
186 3BH9 0.16884723602170815 Q8WVV4 human
187 3BFX 0.10187163748083876 O00338 human
188 2A7O 0.09660125305397138 Q9BYW2 human
189 1II6 0.16982379910885367 P52732 human
190 2LNK 0.2026646189776483 P35579 human
191 1CD0 0.17510502272894274 P01721 human
192 1WMA 0.1306629735117353 P16152 human
193 6VFU 0.1709515013557851 Q8TAB3 human
194 5XAU 0.19734102624046249 O15230 human
195 2WBI 0.20610311484505456 Q709F0 human
196 2E6J 0.16998263335702252 Q4G0P3 human
197 1N3Y 0.1269974292458587 P20702 human
198 3DWB 0.13363313831806278 P42892 human
199 1AV1 0.23441894838850424 P02647 human
200 6EKK 0.14124222316494786 Q8TEH3 human
201 1CA7 0.2194309314518675 P14174 human
202 1AZM 0.11830835514095712 P00915 human
203 4ZLP 0.17564812110268105 Q9UM47 human
204 4CRS 0.1326935361323362 Q16513 human
205 2GF7 0.11723630642076753 O75164 human
206 5FQD 0.14628786510169575 P48729 human
207 1QMV 0.1915366990699938 P32119 human
208 1ZMC 0.17663870381327107 P09622 human
209 3F02 0.16960566187499845 Q99574 human
210 6YKY 0.17634086582912828 Q16659 human
211 1NYS 0.12971316236109326 P08476 human
212 2JRJ 0.1915439655333678 Q96PM5 human
213 1DS6 0.15904422891374667 P52566 human
214 1DS6 0.15904422891374667 P15153 human
215 5Y22 0.2619605036593928 Q92187 human
216 4M7C 0.16612180499681128 Q8IY92 human
217 4Z1F 0.13193999909883036 Q12931 human
218 1KNT 0.10341840009232987 P12111 human
219 3LGD 0.17873241197895556 Q9NZK5 human
220 4U32 0.17747794279970625 O43291 human
221 6M04 0.2187689171235196 Q7L1W4 human
222 1X3B 0.17382822724130614 Q15582 human
223 4MQE 0.12428181541364006 Q9UBS5 human
224 2M3D 0.18682923248184252 Q9NR30 human
225 4Y2E 0.15184679952226754 Q16829 human
226 1UEM 0.1860187459023671 Q9HCK4 human
227 4QGK 0.18994983708351493 P51648 human
228 1AUK 0.1968861855508247 P15289 human
229 6UHI 0.13681606838898094 P21817 human
230 3CTZ 0.15050990934854794 Q9NQW7 human
231 6HPI 0.20868741783446135 Q9UHA7 human
232 2AAV 0.2139731237258264 P21333 human
233 1AXC 0.1158899990993085 P12004 human
234 4PL8 0.1384907361176981 O75128 human
235 2VYI 0.1419544731909874 O43765 human
236 4H8S 0.22467086867731034 Q8NEU8 human
237 1WWU 0.17217697031074153 Q9H6S3 human
238 2YSR 0.19907106858594006 Q5TB30 human
239 1BD9 0.0999603694351928 P30086 human
240 2DKQ 0.22526969099405664 Q63HR2 human
241 2YSM 0.15620922336083454 Q8NEZ4 human
242 1BH5 0.2183645809822921 Q04760 human
243 1D8J 0.17103515052382168 P29084 human
244 1HYI 0.13545053623172654 Q15075 human
245 6BUZ 0.2660774285841856 Q96H22 human
246 3B76 0.2068740966005759 Q8TBB1 human
247 1FO1 0.14604536597978193 Q9UBU9 human
248 1T5A 0.17849129967277388 P14618 human
249 2JJZ 0.0938955439999072 Q9BQI0 human
250 1H4W 0.1684955607514883 P35030 human
251 1FZA 0.21445220957640987 P02675 human
252 1RAX 0.16419991278697266 Q12967 human
253 2CQK 0.14809981787657084 Q71RC2 human
254 6CVZ 0.17611477920894306 Q6PCD5 human
255 1QG3 0.12013004510433398 P16144 human
256 1A85 0.1224740352123354 P22894 human
257 3RAY 0.13654819994103176 Q9NQV5 human
258 2M0P 0.12029820907831512 P98164 human
259 2KLR 0.1114131122554797 P02511 human
260 2LFE 0.1920895499537937 Q9P2P5 human
261 6K4J 0.2551930845672532 P21926 human
262 4N68 0.1261714660750964 O94779 human
263 2IYB 0.19047551681105004 Q9UGI8 human
264 2G31 0.23249995374126195 Q9NQC3 human
265 6XTE 0.13371242000801822 O00410 human
266 4TSE 0.18575721840680465 Q86YT6 human
267 1J72 0.12672734290430754 P40121 human
268 2FAZ 0.12414807113579444 Q96T88 human
269 2EQR 0.19353212737882586 O75376 human
270 1CQP 0.13145537006735852 P20701 human
271 6K2C 0.14939561120729505 Q15386 human
272 1J1D 0.15089572634398535 P19429 human
273 6Y4L 0.17226105649872894 Q9Y3B6 human
274 3A4U 0.14424097444447778 P49257 human
275 5CTD 0.2444617346246726 Q14050 human
276 5CTD 0.2444617346246726 P08123 human
277 1GKC 0.15859585827331268 P14780 human
278 2D85 0.1432002072286706 P13796 human
279 4WZR 0.1155895810413156 Q15397 human
280 1V66 0.1448438401728949 O75925 human
281 3LLI 0.18483071820159908 O00391 human
282 6CE1 0.0928119315697173 Q9ULW8 human
283 5H0P 0.07770247813975589 Q96C19 human
284 2EPB 0.1329923141059121 Q8TD26 human
285 6SH6 0.18682007194214192 O15226 human
286 5LSJ 0.2601774980287561 Q03188 human
287 6EIE 0.17231741461431485 Q07890 human
288 2CQ2 0.17195016538410612 Q96BT7 human
289 6NLQ 0.22025856331433102 Q5JTZ9 human
290 1TE6 0.13764235644856124 P09104 human
291 2WYA 0.1435315174166891 P54868 human
292 6J4O 0.2004047512654364 Q86V25 human
293 1TEN 0.07508851742051671 P24821 human
294 1A2B 0.1222441129842212 P61586 human
295 1NI2 0.13736966539999995 P15311 human
296 2OSG 0.2391516647790041 Q9UDY2 human
297 2KHX 0.2112325356050788 Q9NRR4 human
298 5XQH 0.19698921917105425 Q9GZN7 human
299 6G76 0.1442660397747755 Q9UK32 human
300 4AY1 0.16522906042487473 Q15782 human
301 3SMT 0.1308866318429872 Q86TU7 human
302 1RKC 0.2237230026863624 P18206 human
303 1EGX 0.20939697224297316 P50552 human
304 3IEZ 0.11736718041268546 Q13576 human
305 4ESR 0.14027282041846498 Q8N157 human
306 1WWT 0.15321120712942035 P26639 human
307 4C0D 0.2289234932454174 A5YKK6 human
308 4NXQ 0.14764136029211605 Q9C0A0 human
309 2VAC 0.12858657261427175 Q6IBS0 human
310 2ALR 0.16031605792247586 P14550 human
311 6R8I 0.12970603774149767 Q6IN85 human
312 2EH0 0.15795903321358826 O60333 human
313 3WIM 0.15447337799183447 Q8IZQ1 human
314 2DK3 0.17070168801489094 Q9ULT8 human
315 4ZYA 0.12452876452371657 O43776 human
316 4PCW 0.22303111132532824 P20930 human
317 3IFQ 0.20172998537408804 P14923 human
318 1MQ0 0.19403938461774115 P32320 human
319 2YRA 0.1317828462156947 Q9BYH1 human
320 1ARK 0.2031599141168204 P20929 human
321 1GW6 0.13537488930306096 P09960 human
322 1GY5 0.21848232714034246 P61970 human
323 2FFU 0.15738432360120813 Q10471 human
324 1V05 0.19194965789354707 Q14315 human
325 2EBZ 0.18857213332831813 O14924 human
326 1TJT 0.11643566085912245 Q08043 human
327 1T09 0.16882368559419753 O75874 human
328 2CKO 0.17922706631989774 P35790 human
329 5D9G 0.14788325061118332 O75663 human
330 6B8Q 0.26896793432278515 Q9NR82 human
331 1Z8D 0.1569855696624817 P11217 human
332 1F9E 0.2332682371110727 Q14790 human
333 4U04 0.14179746726046474 Q9BVA6 human
334 2BMJ 0.1501987427428377 Q99490 human
335 2HWY 0.19132518403729226 Q9UPR3 human
336 2IHC 0.16848937155273164 O14867 human
337 1X5Z 0.16064468552758032 P23468 human
338 3PJA 0.1526932252520783 Q99598 human
339 2KA3 0.2956364443585816 Q9Y6C2 human
340 6H7E 0.19587208393553165 O95398 human
341 4YYP 0.2661489958218764 Q15468 human
342 4PWN 0.13181929029852127 Q9H4A3 human
343 5KSO 0.17366071159925472 Q8IXI2 human
344 6IGX 0.2368247816257737 Q9BPX3 human
345 6IGX 0.2368247816257737 Q15003 human
346 5AQ0 0.2268235776668639 O75976 human
347 2EKF 0.22593157514115134 Q9Y679 human
348 2B05 0.12242258208517084 P61981 human
349 2GPO 0.16729525795698386 P48552 human
350 1CYN 0.09959896556032842 P23284 human
351 1CYU 0.182840467733314 P01040 human
352 1FP0 0.2093976208110753 Q13263 human
353 4N7Z 0.18459373385374292 Q8TEP8 human
354 3EBB 0.10658150766437753 P55072 human
355 10GS 0.17601395997322994 P09211 human
356 1B0L 0.14045334287077058 P02788 human
357 1E5W 0.1224633663495999 P26038 human
358 1NB8 0.11456929115145588 Q93009 human
359 2XZZ 0.2323603891195985 P22735 human
360 2JUF 0.12773151328464422 Q8IWT3 human
361 2DAQ 0.20361945403801648 Q9BZ95 human
362 6S7P 0.19883827760327152 P21439 human
363 1NOU 0.18503676209691935 P07686 human
364 1K99 0.15324405077765432 P17480 human
365 2YU1 0.1328265975835716 Q9Y2K7 human
366 2E8O 0.1663760962407349 Q9Y3Z3 human
367 5ZTF 0.2056407453078779 P16615 human
368 2V66 0.225343374510038 Q9GZM8 human
369 2OO4 0.13286715482798106 Q04721 human
370 5U6O 0.1996767726121242 O60741 human
371 4EGX 0.18474382548588286 Q12756 human
372 4CCJ 0.21483133291241285 Q9H6W3 human
373 4YQF 0.17391960427051478 Q9UHD8 human
374 2AW5 0.0989134904532334 P48163 human
375 2WZB 0.1380758780888561 P00558 human
376 4F20 0.12962328369888526 Q6E0U4 human
377 1SS6 0.18332931793395635 Q9UNZ2 human
378 2VDX 0.15516285200583915 P08185 human
379 1YZ1 0.1328338721911334 P13693 human
380 2EBQ 0.15525488549139968 P49790 human
381 1HZF 0.16974340267223495 P0C0L4 human
382 1LAR 0.14820489155845007 P10586 human
383 3OVP 0.12304981468228653 Q96AT9 human
384 2KKR 0.14295329005709806 O15265 human
385 3KQ0 0.16917255608265416 P02763 human
386 1UEZ 0.17484866792751427 Q9P202 human
387 1RJB 0.2095073444014488 P36888 human
388 3FVY 0.113179312432692 Q9NY33 human
389 2ALB 0.14766196854228325 P30101 human
390 5J8H 0.16016504318468872 O00418 human
391 2A8B 0.144635814710821 Q15256 human
392 1P1A 0.1434573539106308 P54727 human
393 5HDT 0.1407049506093556 Q9NTI5 human
394 2RAI 0.1840207218698514 Q9Y5X1 human
395 3AHQ 0.168186703984693 Q96HE7 human
396 1AWI 0.1554652958060389 P07737 human
397 3O7X 0.18497098547342009 Q8TC59 human
398 4HHH 0.1871115899878551 P04717 pea
399 4HHH 0.1871115899878551 P07689 pea
400 1QFY 0.1394260770154215 P10933 pea
401 1P8B 0.23375111082502906 P62931 pea
402 2K7H 0.15104484124486978 P26987 soybean
403 1FXZ 0.2116863755650493 P04776 soybean
404 3A68 0.19618311176359693 Q948P5 soybean
405 1IPJ 0.1905560487321064 P25974 soybean
406 2WSC 0.316494099349399 C6TEX2 soybean
407 1OD5 0.1933325375949777 P04347 soybean
408 3KAJ 0.17678638770670313 Q9M426 soybean
409 2IUJ 0.10121830434858232 Q43446 soybean
410 3VBE 0.185395490218702 I1L6I6 soybean
411 2IUK 0.12837821248906806 P24095 soybean
412 1PI2 0.17058571455812854 P01064 soybean
413 1BBI 0.21705120982488127 P01055 soybean
414 1A37 0.1434632184953122 P63103 whey
415 1HLU 0.13821529127540888 P60712 whey
416 1HLU 0.13821529127540888 P02584 whey
417 1CB4 0.1484593869273952 P00442 whey
418 2PQS 0.17540751952195482 Q95114 whey
419 1A2W 0.16287177296121533 P61823 whey
420 4X9P 0.09851680337188592 P04272 whey
421 1AYO 0.17898748721798752 A8E647 whey
422 1AGI 0.14223983152176042 P10152 whey
423 1BLF 0.14497573934815014 P24627 whey
424 1PZD 0.13942697727601014 P53620 whey
